addr_state,issue_d,unemp,unemp_LSFT
CO,04/15/10,0.085,0.00171978
CO,05/15/10,0.085,0.001521978
CO,06/15/10,0.089,0.00143956
CO,07/15/10,0.088,0.001489011
CO,08/15/10,0.086,0.001335165
CO,09/15/10,0.084,0.001016484
CO,10/15/10,0.084,0.000604396
CO,11/15/10,0.089,0.000335165
CO,12/15/10,0.088,6.59E-05
CO,01/15/11,0.092,-1.65E-05
CO,02/15/11,0.091,0.000148352
CO,03/15/11,0.089,0.000236264
CO,04/15/11,0.084,0.000236264
CO,05/15/11,0.084,4.40E-05
CO,06/15/11,0.083,-0.000175824
CO,07/15/11,0.081,-0.000296703
CO,08/15/11,0.081,-0.000412088
CO,09/15/11,0.079,-0.000631868
CO,10/15/11,0.078,-0.000923077
CO,11/15/11,0.08,-0.001115385
CO,12/15/11,0.081,-0.00106044
CO,01/15/12,0.086,-0.000835165
CO,02/15/12,0.087,-0.000412088
CO,03/15/12,0.085,-6.59E-05
CO,04/15/12,0.08,7.14E-05
CO,05/15/12,0.078,-4.02E-19
CO,06/15/12,0.082,9.34E-05
CO,07/15/12,0.078,2.75E-05
CO,08/15/12,0.077,-0.000120879
CO,09/15/12,0.072,-0.000412088
CO,10/15/12,0.072,-0.000730769
CO,11/15/12,0.073,-0.001016484
CO,12/15/12,0.074,-0.001164835
CO,01/15/13,0.08,-0.001043956
CO,02/15/13,0.078,-0.000791209
CO,03/15/13,0.075,-0.000554945
CO,04/15/13,0.07,-0.000494505
CO,05/15/13,0.068,-0.00060989
CO,06/15/13,0.073,-0.000571429
CO,07/15/13,0.068,-0.000516484
